Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Mario + Rabbids Sparks of Hope,3 million,2022-10-20,Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: Ubisoft JP: Nintendo,Nintendo Switch
Bayonetta 3,1.07 million,2022-10-28,Action-adventurehack and slash,PlatinumGames,Nintendo,Nintendo Switch
Pokémon Scarlet and Violet,24.92 million,2022-11-18,Role-playing,Game Freak,The Pokémon CompanyNintendo,Nintendo Switch
Fire Emblem Engage,1.61 million,2023-01-20,Tactical role-playing,Intelligent Systems,Nintendo,Nintendo Switch
Metroid Prime Remastered,1.09 million,2023-02-08,Action-adventure,Retro Studios,Nintendo,Nintendo Switch
Kirby's Return to Dream Land Deluxe,1.46 million,2023-02-24,Platformer,HAL Laboratory,Nintendo,Nintendo Switch
The Legend of Zelda: Tears of the Kingdom,20.61 million,2023-05-12,Action-adventure,Nintendo EPD,Nintendo,Nintendo Switch
Pikmin 4,3.48 million,2023-07-21,Real-time strategy,Nintendo EPD,Nintendo,Nintendo Switch
Super Mario Bros. Wonder,13.44 million,2023-10-20,Platformer,Nintendo EPD,Nintendo,Nintendo Switch
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,1 million,2023-11-16,Board game,Konami,JP: Konami,Nintendo Switch
Super Mario RPG,3.31 million,2023-11-17,Role-playing,ArtePiazza,Nintendo,Nintendo Switch
Dragon Quest Monsters: The Dark Prince,1 million,2023-12-01,Role-playing,Tose,Square Enix,Nintendo Switch
Mario vs. Donkey Kong,1.12 million,2024-02-16,Puzzle-platform,Nintendo Software Technology,Nintendo,Nintendo Switch
Princess Peach: Showtime!,1.22 million,2024-03-22,Action-adventure,Good-Feel,Nintendo,Nintendo Switch
Hydlide,1 million,1984-12-13,Action role-playing,Technology and Entertainment Software,Technology and Entertainment Software,PC
Where in the World Is Carmen Sandiego?,4 million,1985-06-01,Educational,Broderbund,Broderbund,PC
Last Ninja 2,5.5 million,1988-08-29,Action-adventure,System 3,Activision,PC
Populous,4 million,1989-06-05,God game,Bullfrog Productions,Electronic Arts,PC
Return to Zork,1 million,1993-08-20,Adventure,Infocom,Activision,PC
Myst,6 million,1993-09-24,"Adventure, puzzle",Cyan,Brøderbund,PC
Doom,2 million,1993-12-10,First-person shooter,id Software,id Software,PC
Doom II: Hell on Earth,2 million,1994-10-10,First-person shooter,id Software,GT Interactive,PC
Full Throttle,1 million,1995-04-30,Graphic adventure,LucasArts,LucasArts,PC
Phantasmagoria,1 million,1995-07-31,Interactive movie,Sierra Online,Sierra Online,PC
Command & Conquer,3 million,1995-08-31,Real-time strategy,Westwood Studios,Virgin Interactive Electronic Arts (since 1998; also freeware release),PC
Caesar II,2.5 million,1995-09-04,City-building game,Impressions Game,Sierra On-Line,PC
Warcraft II: Tides of Darkness,2 million,1995-12-09,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Duke Nukem 3D,1 million,1996-01-29,First-person shooter,3D Realms,GT Interactive,PC
Civilization II,1 million,1996-02-29,"Turn-based strategy, 4X",MicroProse,MicroProse,PC
Quake,1 million,1996-06-22,First-person shooter,id Software,GT Interactive,PC
Grand Prix 2,1 million,1996-08-30,Sim racing,MicroProse,MicroProse,PC
Lords of the Realm II,2.5 million,1996-10-31,Turn-based strategy,Impressions Game,Impressions Game,PC
Command & Conquer: Red Alert,3 million,1996-10-31,Real-time strategy,Westwood Studios,Virgin Interactive,PC
Diablo,1.8 million,1996-12-31,Action role-playing,Blizzard North,Blizzard Entertainment (North America) Ubisoft (Europe),PC
POD,2 million,1997-02-28,Racing game,Ubisoft,Ubisoft,PC
Total Annihilation,1 million,1997-09-30,Real-time strategy,Cavedog Entertainment,GT Interactive,PC
Age of Empires,3 million,1997-10-15,Real-time strategy,Ensemble Studios,Microsoft,PC
Riven,1.3 million,1997-10-31,"Adventure, puzzle",Cyan,Red Orb Entertainment,PC
Frogger: He's Back!,1 million,1997-11-03,Action,SCE Studio Cambridge,Hasbro Interactive,PC
Deer Hunter,1 million,1997-11-13,Sports,Sunstorm Interactive,WizardWorks,PC
Blade Runner,1 million,1997-11-21,Point-and-click,Westwood Studios,Virgin Interactive,PC
