Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
Dynasty Warriors 3,2.295 million,2001-09-20,Hack and slash,Omega Force,JP/NA: KoeiPAL: THQ,PlayStation 2
Silent Hill 2,1 million,2001-09-24,Survival horror,Konami Computer Entertainment Tokyo (Team Silent),Konami,PlayStation 2
Spy Hunter,1.07 million,2001-09-24,Vehicular combat,Paradigm Entertainment,Midway Games,PlayStation 2
Grand Theft Auto III,8.305 million,2001-10-22,Action-adventure,DMA Design,WW: Rockstar GamesJP: Capcom,PlayStation 2
Tony Hawk's Pro Skater 3,2.4 million,2001-10-28,Sports,Neversoft,Activision O2,PlayStation 2
Crash Bandicoot: The Wrath of Cortex,2.763 million,2001-10-29,Platform,Traveller's Tales,Universal Interactive Studios,PlayStation 2
Metal Gear Solid 2: Sons of Liberty,7.03 million,2001-11-12,Action-adventurestealth,Konami Computer Entertainment Japan,Konami,PlayStation 2
007: Agent Under Fire,2.07 million,2001-11-13,First-person shooter,EA Redwood Shores,EA Games,PlayStation 2
WWF SmackDown! Just Bring It,1.486 million,2001-11-16,Sports,Yuke's,WW: THQJP: Yuke's,PlayStation 2
The Simpsons: Road Rage,2.24 million,2001-11-24,Vehicular combat,Radical Entertainment,Electronic Arts,PlayStation 2
Jak and Daxter: The Precursor Legacy,4.2 million,2001-12-03,Platform,Naughty Dog,Sony Computer Entertainment,PlayStation 2
Namco Museum,1.8 million,2001-12-04,Compilation,Namco,Namco,PlayStation 2
Max Payne,2.128 million,2001-12-06,Third-person shooter,Remedy Entertainment,Rockstar Games,PlayStation 2
Gran Turismo Concept,1.56 million shipped,2002-01-01,Sim racing,Polyphony Digital,Sony Computer Entertainment,PlayStation 2
Virtua Fighter 4,1.5 million,2002-01-31,Fighting,SEGA AM2,Sega,PlayStation 2
Pac-Man World 2,1.21 million,2002-02-24,Platform,Namco Hometek,WW: NamcoEU: Sony Computer Entertainment,PlayStation 2
Xenosaga Episode I: Der Wille zur Macht,1 million,2002-02-28,Role-playing,Monolith Soft,Namco,PlayStation 2
Onimusha 2: Samurai's Destiny,2.1 million,2002-03-07,Action-adventurehack and slash,Capcom,Capcom,PlayStation 2
Tekken 4,2.005 million,2002-03-28,Fighting,Namco,JP/NA: NamcoEU: Sony Computer Entertainment,PlayStation 2
Kingdom Hearts,5.9 million,2002-03-28,Action role-playing,Square,JP: SquareNA: Square Electronic ArtsEU: Sony Computer Entertainment,PlayStation 2
Spider-Man,2.81 million,2002-04-15,Action-adventure,Treyarch,Activision,PlayStation 2
Pro Evolution Soccer 2[ad],2.859 million,2002-04-25,Sports,Konami Computer Entertainment Tokyo,Konami,PlayStation 2
Scooby-Doo! Night of 100 Frights,1.17 million,2002-05-20,Platform,Heavy Iron Studios,THQ,PlayStation 2
Medal of Honor: Frontline,3.55 million,2002-05-28,First-person shooter,EA Los Angeles,EA Games,PlayStation 2
NCAA Football 2003,1 million,2002-07-20,Sports,EA Tiburon,EA Sports,PlayStation 2
Madden NFL 2003,3.18 million,2002-08-12,Sports,EA TiburonBudcat Creations,EA Sports,PlayStation 2
SOCOM U.S. Navy SEALs,2.78 million,2002-08-27,Tactical shooter,Zipper Interactive,Sony Computer Entertainment,PlayStation 2
